symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0000066740,1902,https://en.wikipedia.org/wiki/3M,https://www.nyse.com/quote/XNYS:MMM,3M Company (originally the Minnesota Mining and Manufacturing Company) is an American multinational 
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://en.wikipedia.org/wiki/A._O._Smith,https://www.nyse.com/quote/XNYS:AOS,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,https://www.nyse.com/quote/XNYS:ABT,Abbott Laboratories is an American multinational medical devices and health care company with headqu
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie,https://www.nyse.com/quote/XNYS:ABBV,"AbbVie Inc. is an American pharmaceutical company headquartered in North Chicago, Illinois. It is ra"
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://en.wikipedia.org/wiki/Accenture,https://www.nyse.com/quote/XNYS:ACN,"Accenture plc is an Irish-American professional services company headquartered in Dublin, Ireland, t"
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://en.wikipedia.org/wiki/Adobe_Inc.,https://www.nasdaq.com/market-activity/stocks/adbe,"Adobe Inc. ( ə-DOH-bee), formerly Adobe Systems Incorporated, is an American computer software compa"
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,https://en.wikipedia.org/wiki/AMD,https://www.nasdaq.com/market-activity/stocks/amd,"Advanced Micro Devices, Inc. (AMD) is an American multinational corporation and fabless semiconducto"
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://en.wikipedia.org/wiki/AES_Corporation,https://www.nyse.com/quote/XNYS:AES,The AES Corporation is an American utility and power generation company. It owns and operates power 
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://en.wikipedia.org/wiki/Aflac,https://www.nyse.com/quote/XNYS:AFL,Aflac Incorporated  (American Family Life Assurance Company) is an American insurance company and is
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,https://en.wikipedia.org/wiki/Agilent_Technologies,https://www.nyse.com/quote/XNYS:A,"Agilent Technologies, Inc. is an American global company headquartered in Santa Clara, California, t"
APD,Air Products,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,https://en.wikipedia.org/wiki/Air_Products,https://www.nyse.com/quote/XNYS:APD,"Air Products and Chemicals, Inc. is an American international corporation whose principal business i"
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,0001559720,2008,https://en.wikipedia.org/wiki/Airbnb,https://www.nasdaq.com/market-activity/stocks/abnb,"Airbnb, Inc. ( AIR-BEE-en-BEE) is an American company operating an online marketplace for short-and-"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,https://en.wikipedia.org/wiki/Akamai_Technologies,https://www.nasdaq.com/market-activity/stocks/akam,"Akamai Technologies, Inc. is an American delivery company that provides content delivery network (CD"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://en.wikipedia.org/wiki/Albemarle_Corporation,https://www.nyse.com/quote/XNYS:ALB,"Albemarle Corporation is an American specialty chemicals manufacturing company based in Charlotte, N"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,https://www.nyse.com/quote/XNYS:ARE,"Alexandria Real Estate Equities, Inc. is a real estate investment trust based in Pasadena, Californi"
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,1997,https://en.wikipedia.org/wiki/Align_Technology,https://www.nasdaq.com/market-activity/stocks/algn,"Align Technology, Inc. is an American manufacturer of 3D digital scanners and Invisalign clear align"
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://en.wikipedia.org/wiki/Allegion,https://www.nyse.com/quote/XNYS:ALLE,Allegion plc is an American Irish-domiciled provider of security products for homes and businesses. 
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,https://en.wikipedia.org/wiki/Alliant_Energy,https://www.nasdaq.com/market-activity/stocks/lnt,"Alliant Energy Corporation is a public utility holding company headquartered in Madison, Wisconsin, "
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0000899051,1931,https://en.wikipedia.org/wiki/Allstate,https://www.nyse.com/quote/XNYS:ALL,"The Allstate Corporation is an American insurance company, headquartered in Glenview, Illinois (with"
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.nasdaq.com/market-activity/stocks/googl,Alphabet Inc. is an American multinational technology conglomerate holding company headquartered in 
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.nasdaq.com/market-activity/stocks/goog,Alphabet Inc. is an American multinational technology conglomerate holding company headquartered in 
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,https://en.wikipedia.org/wiki/Altria,https://www.nyse.com/quote/XNYS:MO,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation an"
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,0001018724,1994,https://en.wikipedia.org/wiki/Amazon_(company),https://www.nasdaq.com/market-activity/stocks/amzn,"Amazon.com, Inc., doing business as Amazon (, AM-ə-zon; UK also , AM-ə-zən), is an American multinat"
